user_id,place_id,restaurant_name,city,state,country,food_price,smoking_area,restaurant_cuisine,user_budget,user_cuisine,reviews,classification,polaarity,subjectivity
U1077,P135085,Tortas Locas Hipocampo,San Luis Potosi,San Luis Potosi,Mexico,2,1,Spanish,2,American,"Just lucky to find this place. Quiet but very nice atmosphere. Very friendly staff who speak perfect English. Food was way beyond bar food. Nice presentation, good flavor. We had tuna steak and it was delicious. Dessert was brownie and carrot cake. Both of them delicious. High recommendations for this place. Must be even better in summer because there is a terrace outside.",Positive,0.5046794871794872,0.6543589743589744
U1077,P135038,Restaurant la Chalita,San Luis Potosi,San Luis Potosi,Mexico,2,4,Italian,2,Mexican,"The food was excellent, the service was very good, lovely atmosphere, I loved the decor. Very easy access with transport.",Positive,0.7346666666666668,0.866
U1077,P132825,puesto de tacos,San Luis Potosi,San Luis Potosi,Mexico,1,0,Latin_American,2,Mexican,"Popped in by accident walking around the hotel. Surprise, surprise! What a gem! We ordered: Tuna steak and margarita The food and the service are...... Well if youre in Prague It is the place you have to visit.",Neutral,0.0,0.0
U1077,P135060,Restaurante Marisco Sam,San Luis Potosi,San Luis Potosi,Mexico,2,0,Mexican,2,Bakery,"Unusual experience. Came in with a friend & ordered a small beer & margarita. The margarita was taking a while to arrive & instead of the cocktail they brought a Margherita pizza?! The cause of the misunderstanding was a 50/50, no blame given or taken, I accepted it. However, the waiter or manager or whoever it was, insisted that we pay for it. I wasn't prepared to argue about it but being a restaurant manager myself (in New Zealand) I certainly would never have made my customer pay for a messed up order. The guy seemed empowered by having asserted his will & point of view. Unfortunately he also succeeded in losing a customer for life. I am always baffled at how short-sighted the hospitality industry can be. One wrong move, one negative experience by a customer & you've lost them for good.",Negative,-0.045231331168831185,0.6657467532467534
U1068,P135104,vips,San Luis Potosi,San Luis Potosi,Mexico,2,1,Fast_Food,1,Breakfast-Brunch,"We had a really nice lunch here. I recommend the duck breast with carrots and spinach. I do not recommend the lemonade, it had a weird taste.",Positive,0.04999999999999999,1.0
U1068,P132740,Carreton de Flautas y Migadas,Cd Victoria,Tamaulipas,Mexico,1,3,Mexican,1,Japanese,"My absolute favorite in Prague, I like Italian Cars, good food and extreme good service, you've find it all in this place. Go for todays special, you will not be disappointed",Positive,0.1977678571428571,0.6776785714285714
U1068,P132663,tacos abi,Victoria,Tamaulipas,Mexico,1,0,Burgers,1,Contemporary,"Service was friendly and attentive, especially given it was asparagus day and Im horrifically allergic.",Positive,0.25833333333333336,0.7999999999999999
U1068,P132732,Taqueria EL amigo ,Cd Victoria,Tamaulipas,Mexico,1,0,Dessert-Ice_Cream,1,Mexican,"We visited this place just to grab a couple of drinks. The interior is pretty cool, the menu a little funny because you have the things listed, written in very small type format.",Positive,0.06749999999999999,0.734
U1068,P132630,palomo tec,Victoria,Tamaulipas,Mexico,1,0,Fast_Food,1,Bagels,"The atmosphere was really sophisticatedly rustic, pity I was not so hungry, so I gotten just a pizza and it was Great ( ps: ... I m Italian ... ) , but around of me I seen wonderful plates, a symphony of perfumes and colours .. but what surpised me really, was the Staff, real Great wonderful people, and much more than professional, with a sincere smile and passion for their job..people who make you feel good",Positive,0.5,0.5346153846153846
U1067,P132584,Gorditas Dona Tota,San Luis Potosi,San Luis Potosi,Mexico,2,1,Hot_Dogs,2,Cafe-Coffee_Shop,Friendly staff who allowed us to use the phone. Busy restaurant. Salad with heated goat cheese was delicious.,Positive,0.4916666666666667,0.6
